ID,MonthlyIncome
871,5774.258309
872,2705.111077
873,12735.82304
874,3071.60075
875,3467.073054
876,4792.429963
877,5465.399772
878,2591.576513
879,2441.716174
880,14211.86038
881,10276.8969
882,2808.583835
883,5465.967719
884,5463.204995
885,5913.770515
886,5416.485435
887,6004.720869
888,5803.24021
889,4784.353229
890,2581.909802
891,5387.649002
892,8979.048538
893,8910.389823
894,5381.270707
895,10398.13187
896,9196.338628
897,9227.006965
898,16099.93685
899,5962.506027
900,2970.860178
901,2587.72484
902,5942.734445
903,6478.579218
904,2523.483745
905,15967.24886
906,5380.47046
907,9170.01567
908,5669.235299
909,2591.576513
910,2640.934848
911,19568.19241
912,2547.030495
913,2933.367851
914,12769.26327
915,5810.260829
916,4255.462617
917,2658.884695
918,5418.447945
919,2258.443612
920,2519.632071
921,2546.440364
922,2530.224173
923,3942.077666
924,5463.855693
925,16387.65505
926,3364.796389
927,5484.755863
928,13176.28467
929,2530.224173
930,3167.946406
931,5586.278541
932,12779.15141
933,8730.456614
934,2528.298336
935,2530.224173
936,2515.812371
937,9357.769317
938,9952.090401
939,5569.238223
940,2258.443612
941,2962.583657
942,9296.287134
943,9842.536428
944,5404.137463
945,2212.350126
946,5603.776233
947,2025.445624
948,2588.083776
949,2498.356668
950,5614.869757
951,2993.875677
952,5841.794007
953,5799.043527
954,3070.637832
955,4487.305916
956,8364.517651
957,11626.46895
958,2779.991977
959,9825.220408
960,19566.72996
961,2579.608087
962,5104.445326
963,6129.783242
964,5643.860049
965,2736.805576
966,18730.28665
967,2535.232704
968,9202.021497
969,16029.27815
970,2798.986625
971,5397.864074
972,5494.359686
973,2810.509672
974,2640.934848
975,5451.5651
976,2561.65824
977,6506.212534
978,2632.357504
979,9355.473659
980,18801.0749
981,2134.014526
982,9422.834494
983,2587.72484
984,2825.531839
985,5528.712666
986,2834.323991
987,2706.56846
988,5538.320504
989,9571.96073
990,2795.319226
991,5429.173799
992,2554.538279
993,5620.209055
994,5576.092026
995,5485.983643
996,4816.475885
997,2673.022962
998,16047.95941
999,8853.157447
1000,2530.224173
1001,5484.15439
1002,4225.74549
1003,5008.472942
1004,6806.808301
1005,3165.117703
1006,5679.577182
1007,2227.303429
1008,5855.261198
1009,19174.21927
1010,5017.121478
1011,9971.065186
1012,5676.296093
1013,6132.1979
1014,4134.074126
1015,5596.248364
1016,3080.235042
1017,2666.731009
1018,8724.271333
1019,9229.551682
1020,2648.054809
1021,5655.675516
1022,5672.591653
1023,5421.084917
1024,9364.131362
1025,16028.45067
1026,18869.21121
1027,5660.32091
1028,5412.262664
1029,5526.583439
1030,8111.780905
1031,5434.241065
1032,2420.715472
1033,12743.03906
1034,2711.735767
1035,4894.301267
1036,2711.735767
1037,5435.041312
1038,9001.195665
1039,12663.55258
1040,6045.738113
1041,2971.249922
1042,2763.624728
1043,8930.340197
1044,5888.25275
1045,2625.339198
1046,2530.224173
1047,5609.459691
1048,12769.84922
1049,3048.090402
1050,5729.190532
1051,10315.35435
1052,2629.541179
1053,5810.724673
1054,2970.860178
1055,2768.792035
1056,2786.500659
1057,5626.370834
1058,16079.45285
1059,5701.202867
1060,2613.051929
1061,4980.691679
1062,5613.20813
1063,6248.784139
1064,2739.392892
1065,6065.078495
1066,2935.293687
1067,3432.243038
1068,19984.22054
1069,5403.249108
1070,2307.39435
1071,2418.625454
1072,5858.476078
1073,2032.922275
1074,5924.667964
1075,5643.627724
1076,16883.08198
1077,19342.59175
1078,5043.094295
1079,5595.439941
1080,5746.134902
1081,3087.887479
1082,2632.459159
1083,2025.445624
1084,6094.115652
1085,9028.915418
1086,9113.898364
1087,5438.398319
1088,2933.503101
1089,2632.357504
1090,5614.908971
1091,5451.634679
1092,6190.125759
1093,12737.44694
1094,5565.889904
1095,5600.109221
1096,5650.704872
1097,3426.580459
1098,2627.726366
1099,2604.145073
1100,5701.806965
1101,19445.82733
1102,5614.869757
1103,6140.900728
1104,10642.63431
1105,2683.751193
1106,2631.001777
1107,2873.64165
1108,5549.576885
1109,5397.864074
1110,5432.213038
1111,6403.181919
1112,12466.03554
1113,12762.59428
1114,6334.983787
1115,9407.425024
1116,3036.501717
1117,6776.291807
1118,4335.855879
1119,9941.501946
1120,2969.860324
1121,9814.283589
1122,15965.87832
1123,5380.529041
1124,16431.2901
1125,2699.448498
1126,2252.395586
1127,2857.988953
1128,4138.349975
1129,16108.69095
1130,2836.868696
1131,12686.67892
1132,16531.19866
1133,5908.521651
1134,2638.092876
1135,3066.786158
1136,2846.465906
1137,3060.04573
1138,5601.839362
1139,9222.073071
1140,15965.28413
1141,5538.215412
1142,5738.410051
1143,10082.03197
1144,5341.898692
1145,5216.940171
1146,5567.284434
1147,4254.499699
1148,2589.650677
1149,2658.884695
1150,5477.060321
1151,2580.963814
1152,5534.897947
1153,5889.587739
1154,2655.008189
1155,6047.33152
1156,12514.75232
1157,2819.483813
1158,5851.837045
1159,2722.565653
1160,5692.320427
1161,2528.112743
1162,9327.450203
1163,3335.933855
1164,9323.725195
1165,2526.757016
1166,2591.576513
1167,8489.61088
1168,5641.110177
1169,2613.051929
1170,2526.757016
